name,sub_area,area,grade,star_count,popular
Resin Breath,Devils Lake Bouldering,Devil's Lake,0,2,4
Pot Mouth,Devils Lake Bouldering,Devil's Lake,0,3,5
Mouthin' off,Devils Lake Bouldering,Devil's Lake,0,1.5,4
Potty Mouth,Devils Lake Bouldering,Devil's Lake,1,0,1
Methier Mouth,Devils Lake Bouldering,Devil's Lake,2,2.5,3
Crack Mouth,Devils Lake Bouldering,Devil's Lake,2,2,2
Meth Mouth,Devils Lake Bouldering,Devil's Lake,2,2.5,8
All Along The Messenger Shore,Devils Lake Bouldering,Devil's Lake,1,3,2
You've Got Mail,Devils Lake Bouldering,Devil's Lake,7,2,1
Logical Bastard,Devils Lake Bouldering,Devil's Lake,2,3,1
Peter's Corner,Devils Lake Bouldering,Devil's Lake,2,1.5,2
Death of a Traveling Salesman,Devils Lake Bouldering,Devil's Lake,5,3,1
So Dope,Devils Lake Bouldering,Devil's Lake,6,2,12
Massive Vertigo,Devils Lake Bouldering,Devil's Lake,6,3,14
So Dope Direct,Devils Lake Bouldering,Devil's Lake,7,2,7
Fixie,Devils Lake Bouldering,Devil's Lake,2,2,10
Remo's Sacrifice,Devils Lake Bouldering,Devil's Lake,4,3,3
The Hipsters V5,Devils Lake Bouldering,Devil's Lake,5,2.5,19
Full Moon Rising,Devils Lake Bouldering,Devil's Lake,6,1.5,6
"Puke, Master-flash",Devils Lake Bouldering,Devil's Lake,7,2,3
Tunder Tighs,Devils Lake Bouldering,Devil's Lake,7,4,41
Prow,Devils Lake Bouldering,Devil's Lake,8,2,2
Astral Projection,Devils Lake Bouldering,Devil's Lake,8,2.5,2
Cranium,Devils Lake Bouldering,Devil's Lake,8,2,1
Eclipse,Devils Lake Bouldering,Devil's Lake,9,2,2
Fontesque,Devils Lake Bouldering,Devil's Lake,9,3,1
Nausea,Devils Lake Bouldering,Devil's Lake,10,3.5,6
Fearful Symmetry,Devils Lake Bouldering,Devil's Lake,9,4,10
Thick Dawg,Devils Lake Bouldering,Devil's Lake,9,2,1
Blair's Arete,Devils Lake Bouldering,Devil's Lake,2,2,1
The High-Low,Devils Lake Bouldering,Devil's Lake,2,2,1
Elbow Room,Devils Lake Bouldering,Devil's Lake,3,3,5
The Warbler,Devils Lake Bouldering,Devil's Lake,4,3,11
Mike's Green Fantasy,Devils Lake Bouldering,Devil's Lake,4,2,5
High Room,Devils Lake Bouldering,Devil's Lake,4,2.5,3
Super Warbler,Devils Lake Bouldering,Devil's Lake,6,1.5,4
